,0
userid,7658312226
fans,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
friends,"['1776448504', 0, 0, 0, 0, 0, 0, 0, 0]"
sunshine_credit_level,信用较低
school,
location,其他
gender,m
birthday, 
created_at,2021-07-26 21:57:45
description,暂无简介
followers_num,0
,0
userid,6080787541
fans,"['5979048843', 0, 0, 0, 0, 0, 0, 0, 0]"
friends,"['1776448504', '6237368526', '3083660057', 0, 0, 0, 0, 0, 0]"
sunshine_credit_level,信用较好
school,
location,其他
gender,m
birthday,2000-12-31 摩羯座
created_at,2016-12-17 19:57:20
description,暂无简介
followers_num,0
,0
userid,7401498553
fans,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
friends,"['1776448504', '3217600393', '1994233411', '1758053365', '1321401182', '7342318513', '5709892136', '1777892131', '5721295401']"
sunshine_credit_level,信用较低
school,
location,其他
gender,m
birthday, 
created_at,2020-02-28 16:37:19
description,暂无简介
followers_num,0
,0
userid,7746573899
fans,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
friends,"['1776448504', '3855731810', '1239246050', 0, 0, 0, 0, 0, 0]"
sunshine_credit_level,信用一般
school,
location,
gender,m
birthday,1998-03-14 双鱼座
created_at,2022-03-09 22:06:51
description,We are MUN❤️
followers_num,0
,0
userid,7805201169
fans,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
friends,"['1776448504', '5764930318', '5532084803', '5893429275', '7601181132', '5486773438', '6336987096', '6037874304', '7521574572']"
sunshine_credit_level,信用一般
school,
location,
gender,m
birthday, 
created_at,2022-11-30 10:15:41
description,暂无简介
followers_num,0
,0
userid,7574361783
fans,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
friends,"['1776448504', '1423310594', 0, 0, 0, 0, 0, 0, 0]"
sunshine_credit_level,信用较低
school,
location,其他
gender,f
birthday, 
created_at,2021-03-11 21:03:07
description,暂无简介
followers_num,0
,0
userid,7848730180
fans,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
friends,"['1776448504', '6444928387', '2318910945', 0, 0, 0, 0, 0, 0]"
sunshine_credit_level,
school,
location,其他
gender,m
birthday,2007-10-04 天秤座
created_at,2023-06-28 15:17:35
description,暂无简介
followers_num,0
,0
userid,7839922674
fans,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
friends,"['1776448504', 0, 0, 0, 0, 0, 0, 0, 0]"
sunshine_credit_level,信用较低
school,
location,其他
gender,f
birthday, 
created_at,2023-05-20 12:37:17
description,暂无简介
followers_num,0
,0
userid,7769398703
fans,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
friends,"['1776448504', '6328628784', '2731728324', 0, 0, 0, 0, 0, 0]"
sunshine_credit_level,信用一般
school,
location,
gender,f
birthday,天蝎座
created_at,2022-07-01 18:56:14
description,风吹哪页读那页
followers_num,0
,0
userid,5280051925
fans,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
friends,"['5350509769', '5187664653', '7095241809', '5969535418', 0, 0, 0, 0, 0]"
sunshine_credit_level,信用较低
school,
location,其他
gender,m
birthday, 
created_at,2014-09-02 20:12:48
description,暂无简介
followers_num,0
,0
userid,7669960614
